KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUSCP,,4,10,12,59003,6.9968e-06,0.00337069,NAME,h_phi_diff_cpCorr_10_12
phi,CLUSCP_EA_vzDep,,4,10,12,59003,-2.62953e-06,0.00333584,NAME,h_phi_diff_cpCorrEA_fitZVTXDep_10_12
phi,CLUSCP_EA_etaDep,,4,10,12,59003,-4.39909e-06,0.00333265,NAME,h_phi_diff_cpCorrEA_fitEtaDep_10_12
phi,CLUSCP_EA,,4,10,12,59003,-3.95066e-06,0.0033358,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_10_12
phi,CLUSCP_EA_EandIncident,,4,10,12,59003,-1.03715e-05,0.00333587,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_10_12
phi,CLUSCP_EA_vzEtaDep,,4,10,12,59003,-3.19673e-06,0.00333317,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_10_12
phi,CLUScpDirectBvals,,4,10,12,59003,-1.35191e-06,0.00346378,NAME,h_phi_diff_cpBcorr_10_12
eta,CLUSRAW,,4,10,12,59003,-4.47273e-05,0.00394946,NAME,h_eta_diff_cpRaw_10_12
eta,CLUSCP,,4,10,12,59003,-3.80373e-05,0.00331635,NAME,h_eta_diff_cpCorr_10_12
eta,CLUSCP_EA_vzDep,,4,10,12,59003,-3.88166e-05,0.00320445,NAME,h_eta_diff_cpCorrEA_fitZVTXDep_10_12
eta,CLUSCP_EA_etaDep,,4,10,12,59003,-3.93837e-05,0.00319043,NAME,h_eta_diff_cpCorrEA_fitEtaDep_10_12
eta,CLUSCP_EA,,4,10,12,59003,-3.86742e-05,0.00320418,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_10_12
eta,CLUSCP_EA_EandIncident,,4,10,12,59003,-1.59683e-05,0.00324117,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_10_12
eta,CLUSCP_EA_vzEtaDep,,4,10,12,59003,-3.95077e-05,0.00319708,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_10_12
eta,CLUScpDirectBvals,,4,10,12,59003,-3.96379e-05,0.00316857,NAME,h_eta_diff_cpBcorr_10_12
phi,PDCraw,,5,12,15,88567,-1.92918e-05,0.00424034,XAXIS,h_phi_diff_raw_12_15
eta,PDCraw,,5,12,15,88567,3.64402e-06,0.00386127,XAXIS,h_eta_diff_raw_12_15
phi,PDCcor,,5,12,15,88567,3.91926e-05,0.00348313,XAXIS,h_phi_diff_corr_12_15
eta,PDCcor,,5,12,15,88567,-9.15104e-06,0.00305417,XAXIS,h_eta_diff_corr_12_15
