view,variant,Elo,Ehi,entries
etaEdge,Energy/|#eta|-Dep b-correction,2,4,0
etaEdge,Energy/|#eta|-Dep b-correction,4,6,0
etaEdge,Energy/|#eta|-Dep b-correction,6,8,0
etaEdge,Energy/|#eta|-Dep b-correction,8,10,0
etaEdge,Energy/|#eta|-Dep b-correction,10,12,0
etaEdge,Energy/|#eta|-Dep b-correction,12,15,0
etaEdge,Energy/|#eta|-Dep b-correction,15,20,0
etaEdge,Energy/|#eta|-Dep b-correction,20,30,0
etaEdge,Energy-Dep b-correction,2,4,0
etaEdge,Energy-Dep b-correction,4,6,0
etaEdge,Energy-Dep b-correction,6,8,0
etaEdge,Energy-Dep b-correction,8,10,0
etaEdge,Energy-Dep b-correction,10,12,0
etaEdge,Energy-Dep b-correction,12,15,0
etaEdge,Energy-Dep b-correction,15,20,0
etaEdge,Energy-Dep b-correction,20,30,0
etaEdge,EA-mix,2,4,0
etaEdge,EA-mix,4,6,0
etaEdge,EA-mix,6,8,0
etaEdge,EA-mix,8,10,0
etaEdge,EA-mix,10,12,0
etaEdge,EA-mix,12,15,0
etaEdge,EA-mix,15,20,0
etaEdge,EA-mix,20,30,0
etaEdge,PDC-raw,2,4,0
etaEdge,PDC-raw,4,6,0
etaEdge,PDC-raw,6,8,0
etaEdge,PDC-raw,8,10,0
etaEdge,PDC-raw,10,12,0
etaEdge,PDC-raw,12,15,0
etaEdge,PDC-raw,15,20,0
etaEdge,PDC-raw,20,30,0
etaEdge,PDC-corr,2,4,0
etaEdge,PDC-corr,4,6,0
etaEdge,PDC-corr,6,8,0
etaEdge,PDC-corr,8,10,0
etaEdge,PDC-corr,10,12,0
etaEdge,PDC-corr,12,15,0
etaEdge,PDC-corr,15,20,0
etaEdge,PDC-corr,20,30,0
