KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
eta,CLUSRAW,,6,15,20,148162,-1.13307e-05,0.00387528,NAME,h_eta_diff_cpRaw_15_20
eta,CLUSCP,,6,15,20,148162,-1.81492e-05,0.00320202,NAME,h_eta_diff_cpCorr_15_20
eta,CLUSCP_EA_etaDep,,6,15,20,148162,-1.81492e-05,0.00320202,NAME,h_eta_diff_cpCorrEA_fitEtaDep_15_20
eta,CLUSCP_EA,,6,15,20,148162,-1.81492e-05,0.00320202,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_15_20
eta,CLUSCP_EA_EandIncident,,6,15,20,148162,-1.27927e-05,0.00367256,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_15_20
eta,CLUSCP_EA_vzEtaDep,,6,15,20,148162,-1.81492e-05,0.00320202,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_15_20
eta,CLUScpDirectBvals,,6,15,20,148162,-1.55813e-05,0.00305905,NAME,h_eta_diff_cpBcorr_15_20
phi,PDCraw,,7,20,30,299805,-0.000132305,0.00392273,XAXIS,h_phi_diff_raw_20_30
eta,PDCraw,,7,20,30,299805,-2.08313e-05,0.00367322,XAXIS,h_eta_diff_raw_20_30
phi,PDCcor,,7,20,30,299805,0.000387162,0.00291988,XAXIS,h_phi_diff_corr_20_30
eta,PDCcor,,7,20,30,299805,-1.26102e-05,0.00279603,XAXIS,h_eta_diff_corr_20_30
phi,CLUSRAW,,7,20,30,299805,-6.5481e-05,0.00402367,NAME,h_phi_diff_cpRaw_20_30
phi,CLUSCP,,7,20,30,299805,0.000598257,0.00294953,NAME,h_phi_diff_cpCorr_20_30
phi,CLUSCP_EA_etaDep,,7,20,30,299805,0.000598257,0.00294953,NAME,h_phi_diff_cpCorrEA_fitEtaDep_20_30
phi,CLUSCP_EA,,7,20,30,299805,0.000598257,0.00294953,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_20_30
phi,CLUSCP_EA_EandIncident,,7,20,30,299805,7.35859e-05,0.00368415,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_20_30
phi,CLUSCP_EA_vzEtaDep,,7,20,30,299805,0.000598257,0.00294953,NAME,h_phi_diff_cpCorrEA_fitZVTXEtaDep_20_30
phi,CLUScpDirectBvals,,7,20,30,299805,0.000465872,0.00306668,NAME,h_phi_diff_cpBcorr_20_30
eta,CLUSRAW,,7,20,30,299805,-3.43671e-05,0.00374131,NAME,h_eta_diff_cpRaw_20_30
eta,CLUSCP,,7,20,30,299805,-3.5849e-05,0.00301324,NAME,h_eta_diff_cpCorr_20_30
eta,CLUSCP_EA_etaDep,,7,20,30,299805,-3.5849e-05,0.00301324,NAME,h_eta_diff_cpCorrEA_fitEtaDep_20_30
eta,CLUSCP_EA,,7,20,30,299805,-3.5849e-05,0.00301324,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_20_30
eta,CLUSCP_EA_EandIncident,,7,20,30,299805,-3.40805e-05,0.00353008,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_AndIncidentAngle_20_30
eta,CLUSCP_EA_vzEtaDep,,7,20,30,299805,-3.5849e-05,0.00301324,NAME,h_eta_diff_cpCorrEA_fitZVTXEtaDep_20_30
eta,CLUScpDirectBvals,,7,20,30,299805,-3.45441e-05,0.00287074,NAME,h_eta_diff_cpBcorr_20_30
