KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
eta,CLUSCP_EA,0_60vz,1,4,6,277772,2.80007e-05,0.00496669,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_4_6_0_60vz
eta,CLUSCP_EA_mixed,0_60vz,1,4,6,277772,2.73363e-05,0.00496736,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_4_6_0_60vz
eta,CLUScpDirectBvals,0_60vz,1,4,6,277772,2.98236e-05,0.00495194,NAME,h_eta_diff_cpBcorr_4_6_0_60vz
phi,PDCraw,,2,6,8,55812,-0.00118284,0.00396168,XAXIS,h_phi_diff_raw_6_8
eta,PDCraw,,2,6,8,55812,-6.24804e-06,0.00396858,XAXIS,h_eta_diff_raw_6_8
phi,PDCcor,,2,6,8,55812,-0.000648331,0.0030636,XAXIS,h_phi_diff_corr_6_8
eta,PDCcor,,2,6,8,55812,-1.21877e-05,0.00328278,XAXIS,h_eta_diff_corr_6_8
phi,CLUSRAW,,2,6,8,55812,-0.00108865,0.00405547,NAME,h_phi_diff_cpRaw_6_8
phi,CLUSCP,,2,6,8,55812,-0.000396519,0.00312848,NAME,h_phi_diff_cpCorr_6_8
phi,CLUSCP_EA_vzDep,,2,6,8,55812,-0.000502514,0.00306694,NAME,h_phi_diff_cpCorrEA_geom_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,55812,-0.00050767,0.00306317,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,55812,-0.000502493,0.00306697,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_mixed,,2,6,8,55812,-0.000508251,0.00306535,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,55812,-0.000542103,0.00320083,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,55812,-1.3183e-05,0.00400501,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,55812,-3.25908e-05,0.00349394,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_vzDep,,2,6,8,55812,-2.79556e-05,0.00335294,NAME,h_eta_diff_cpCorrEA_geom_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,55812,-2.6828e-05,0.00333875,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,55812,-2.79601e-05,0.0033527,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_mixed,,2,6,8,55812,-2.65434e-05,0.00333752,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
