KIND,VARIANT,SUFFIX,BIN,E_low,E_high,ENTRIES,MEAN,RMS,SRC,NAME
phi,CLUSCP_EA_vzDep,,2,6,8,125076,0.000404686,0.00644945,NAME,h_phi_diff_cpCorrEA_geom_6_8
phi,CLUSCP_EA_etaDep,,2,6,8,125076,0.000397526,0.00645157,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8
phi,CLUSCP_EA,,2,6,8,125076,0.00039761,0.00645022,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8
phi,CLUSCP_EA_mixed,,2,6,8,125076,0.000401181,0.00645058,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
phi,CLUScpDirectBvals,,2,6,8,125076,0.000365231,0.00647877,NAME,h_phi_diff_cpBcorr_6_8
eta,CLUSRAW,,2,6,8,125076,5.23796e-05,0.00956527,NAME,h_eta_diff_cpRaw_6_8
eta,CLUSCP,,2,6,8,125076,7.99032e-05,0.0091246,NAME,h_eta_diff_cpCorr_6_8
eta,CLUSCP_EA_vzDep,,2,6,8,125076,6.36824e-05,0.00917479,NAME,h_eta_diff_cpCorrEA_geom_6_8
eta,CLUSCP_EA_etaDep,,2,6,8,125076,7.15591e-05,0.00913542,NAME,h_eta_diff_cpCorrEA_fitEtaDep_6_8
eta,CLUSCP_EA,,2,6,8,125076,7.2226e-05,0.00912823,NAME,h_eta_diff_cpCorrEA_fitEnergyOnly_6_8
eta,CLUSCP_EA_mixed,,2,6,8,125076,7.1476e-05,0.00913683,NAME,h_eta_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8
eta,CLUScpDirectBvals,,2,6,8,125076,7.36485e-05,0.00911924,NAME,h_eta_diff_cpBcorr_6_8
phi,PDCraw,0_60vz,2,6,8,125076,0.000244589,0.00657739,XAXIS,h_phi_diff_raw_6_8_0_60vz
phi,PDCcor,0_60vz,2,6,8,125076,0.000393019,0.00640674,XAXIS,h_phi_diff_corr_6_8_0_60vz
phi,CLUSRAW,0_60vz,2,6,8,125076,0.000216691,0.00662925,NAME,h_phi_diff_cpRaw_6_8_0_60vz
phi,CLUSCP,0_60vz,2,6,8,125076,0.000396856,0.0064462,NAME,h_phi_diff_cpCorr_6_8_0_60vz
phi,CLUSCP_EA_vzDep,0_60vz,2,6,8,125076,0.000404686,0.00644945,NAME,h_phi_diff_cpCorrEA_geom_6_8_0_60vz
phi,CLUSCP_EA_etaDep,0_60vz,2,6,8,125076,0.000397526,0.00645157,NAME,h_phi_diff_cpCorrEA_fitEtaDep_6_8_0_60vz
phi,CLUSCP_EA,0_60vz,2,6,8,125076,0.00039761,0.00645022,NAME,h_phi_diff_cpCorrEA_fitEnergyOnly_6_8_0_60vz
phi,CLUSCP_EA_mixed,0_60vz,2,6,8,125076,0.000401181,0.00645058,NAME,h_phi_diff_cpCorrEA_fitPhiE_etaEtaDep_6_8_0_60vz
phi,CLUScpDirectBvals,0_60vz,2,6,8,125076,0.000365231,0.00647877,NAME,h_phi_diff_cpBcorr_6_8_0_60vz
eta,PDCraw,0_60vz,2,6,8,125076,-6.98545e-06,0.00949432,XAXIS,h_eta_diff_raw_6_8_0_60vz
eta,PDCcor,0_60vz,2,6,8,125076,-8.46693e-06,0.008994,XAXIS,h_eta_diff_corr_6_8_0_60vz
