variantName etaOrPhi etaRange zRange m b0
zAndEtaAndEnergyDep eta etaCore z45to60 0.089787 0.339446
zAndEtaAndEnergyDep phi etaMid z00to10 -0.00699322 0.182191
zAndEtaAndEnergyDep phi etaMid z10to20 -0.00763424 0.183321
zAndEtaAndEnergyDep phi etaMid z20to30 -0.00709443 0.180436
zAndEtaAndEnergyDep phi etaMid z30to45 -0.00717909 0.178672
zAndEtaAndEnergyDep phi etaMid z45to60 -0.00774659 0.17756
zAndEtaAndEnergyDep eta etaMid z00to10 -0.00494446 0.194409
zAndEtaAndEnergyDep eta etaMid z10to20 -0.00426065 0.203796
zAndEtaAndEnergyDep eta etaMid z20to30 -0.00800661 0.22128
zAndEtaAndEnergyDep eta etaMid z30to45 -0.0181614 0.243091
zAndEtaAndEnergyDep eta etaMid z45to60 -0.0291383 0.286251
zAndEtaAndEnergyDep phi etaEdge z00to10 -0.0070556 0.179281
zAndEtaAndEnergyDep phi etaEdge z10to20 -0.00678847 0.178984
zAndEtaAndEnergyDep phi etaEdge z20to30 -0.00741975 0.179696
zAndEtaAndEnergyDep phi etaEdge z30to45 -0.00655298 0.179737
zAndEtaAndEnergyDep phi etaEdge z45to60 -0.00436008 0.177291
zAndEtaAndEnergyDep eta etaEdge z00to10 0.00240799 0.196346
zAndEtaAndEnergyDep eta etaEdge z10to20 0.00399927 0.195343
zAndEtaAndEnergyDep eta etaEdge z20to30 -0.00504641 0.22404
zAndEtaAndEnergyDep eta etaEdge z30to45 -0.0121258 0.277243
zAndEtaAndEnergyDep eta etaEdge z45to60 -0.0863371 0.549699
zAndEtaAndEnergyDep phi originalEta z00to10 -0.00648978 0.180945
zAndEtaAndEnergyDep phi originalEta z10to20 -0.00660487 0.181509
zAndEtaAndEnergyDep phi originalEta z20to30 -0.00612276 0.179516
zAndEtaAndEnergyDep phi originalEta z30to45 -0.00631138 0.178632
zAndEtaAndEnergyDep phi originalEta z45to60 -0.0063078 0.176338
zAndEtaAndEnergyDep eta originalEta z00to10 -0.00254355 0.188284
zAndEtaAndEnergyDep eta originalEta z10to20 -0.00246435 0.192384
zAndEtaAndEnergyDep eta originalEta z20to30 -0.00611304 0.208018
zAndEtaAndEnergyDep eta originalEta z30to45 -0.00987074 0.234889
zAndEtaAndEnergyDep eta originalEta z45to60 -0.00287251 0.323109
zAndEtaAndEnergyDep phi fullEta z00to02 -0.00724174 0.183278
zAndEtaAndEnergyDep phi fullEta z02to04 -0.00779917 0.183665
zAndEtaAndEnergyDep phi fullEta z04to06 -0.00775159 0.184023
zAndEtaAndEnergyDep phi fullEta z06to08 -0.00537152 0.178791
zAndEtaAndEnergyDep phi fullEta z08to10 -0.00615802 0.180337
zAndEtaAndEnergyDep eta fullEta z00to02 -0.00388284 0.192662
zAndEtaAndEnergyDep eta fullEta z02to04 -0.00435742 0.192282
zAndEtaAndEnergyDep eta fullEta z04to06 -0.00177091 0.188251
zAndEtaAndEnergyDep eta fullEta z06to08 -0.00290561 0.190039
zAndEtaAndEnergyDep eta fullEta z08to10 -0.00499339 0.191998
zAndEtaAndEnergyDep phi etaCore z00to02 -0.00850902 0.190025
zAndEtaAndEnergyDep phi etaCore z02to04 -0.00663458 0.188437
zAndEtaAndEnergyDep phi etaCore z04to06 -0.00685737 0.186618
zAndEtaAndEnergyDep phi etaCore z06to08 -0.00569364 0.182899
zAndEtaAndEnergyDep phi etaCore z08to10 -0.00527229 0.183937
zAndEtaAndEnergyDep eta etaCore z00to02 -0.00743085 0.181183
